id,stage_name,real_name,genre,subgenre,fame_tier,reputation,audience,region,cost_low,cost_high,social_followers,soundtrack_fit_tags,strengths,risks,scandal_risk,availability,personality,deal_preference
1,Jaxen Biber,Jasper Blye,Pop,Dance Pop,SUPERSTAR,91,Teen and Global,North America,1800000,5200000,118000000,"romance, teen, festival, family, global","hooky choruses, clean image, huge streaming pull","expensive, heavy approval process",LOW,RARE,Polished and charming,Upfront fee plus soundtrack bonus
2,Bella Eelix,Belinda Ellis,Pop,Alt Pop,SUPERSTAR,94,Teen and Prestige,North America,2200000,6500000,104000000,"horror, teen, prestige, romance, global","moody vocals, viral visuals, strong youth appeal","prefers creative control, selective campaigns",LOW,RARE,Quiet and artistic,Creative approval plus backend
3,Snoopy Daug,Calvin Broadpaw,Rap,West Coast Rap,LEGEND,88,Street and Global,North America,4500000,12000000,82000000,"crime, comedy, street, luxury, festival","iconic voice, comic timing, cross-generational recognition",brand fit can feel nostalgic,MEDIUM,SELECTIVE,Laid-back and witty,Equity or premium licensing
4,Drayk Noon,Aubrey North,R&B,Melodic Rap,SUPERSTAR,89,Global and Luxury,North America,2500000,7000000,143000000,"romance, luxury, crime, nightlife, global","smooth hooks, massive playlists, emotional appeal","overexposure risk, strict exclusivity",MEDIUM,RARE,Confident and calculated,Minimum guarantee plus royalties
5,Tayla Swyft,Talia Swifton,Pop,Singer Songwriter,LEGEND,97,Family and Global,North America,6500000,18000000,236000000,"romance, prestige, teen, family, global","storytelling, loyal fanbase, major press value","very limited availability, high cost",LOW,RARE,Strategic and warm,Premium fee plus full creative approval
6,Ari NovaGrande,Ariana Granville,Pop,Vocal Pop,SUPERSTAR,93,Teen and Global,North America,2000000,6000000,154000000,"romance, fantasy, teen, luxury, family","power vocals, glamorous image, strong radio appeal",requires polished brand alignment,LOW,RARE,Sparkly and perfectionist,High fee plus campaign approval
7,Weekend Wolf,Abel Winters,R&B,Dark R&B,SUPERSTAR,90,Prestige and Nightlife,North America,1800000,5800000,96000000,"crime, luxury, horror, romance, nightlife","cinematic darkness, sleek production, adult appeal",darker themes may limit family use,MEDIUM,SELECTIVE,Mysterious and intense,Sync fee plus visual approval
8,Broono Marts,Bruno Marshall,Pop,Funk Pop,SUPERSTAR,95,Family and Festival,North America,1700000,5000000,73000000,"family, festival, romance, comedy, global","feel-good energy, retro style, broad appeal",tour schedule conflicts,LOW,SELECTIVE,Playful and polished,Premium upfront fee
9,Dua Luma,Daria Lumis,Pop,Disco Pop,SUPERSTAR,92,Club and Global,Europe,1400000,4200000,87000000,"festival, luxury, romance, action, global","dance-floor hits, fashion appeal, international reach",brand saturation in ads,LOW,SELECTIVE,Cool and sleek,Flat fee plus usage limits
10,Olivia Rodergo,Olive Rodrigoz,Pop,Pop Rock,STAR,86,Teen and Drama,North America,650000,1900000,47000000,"teen, romance, drama, prestige, coming-of-age","emotional writing, Gen Z pull, strong vocals",young audience may narrow fit,LOW,SELECTIVE,Raw and sincere,Creative approval plus fee
11,Post Maloney,Austin Postwell,Hip-Hop,Pop Rap,SUPERSTAR,87,Global and Street,North America,1500000,4500000,69000000,"street, comedy, action, festival, global","raspy hooks, casual charm, crossover appeal",image can feel chaotic,MEDIUM,SELECTIVE,Easygoing and oddball,High fee plus merch tie-in
12,Cardi Bee,Carlita Bronx,Rap,Trap Rap,SUPERSTAR,84,Street and Club,North America,1200000,3800000,112000000,"crime, street, luxury, comedy, nightlife","big personality, viral quotes, club energy","controversy-prone, explicit lyrics",HIGH,SELECTIVE,Loud and fearless,Upfront fee plus social package
13,Nika Mirage,Monica Maraj,Rap,Pop Rap,SUPERSTAR,90,Global and Luxury,Caribbean,1600000,5000000,128000000,"luxury, superhero, action, teen, global","animated delivery, fan army, fashion value",online feuds may distract,HIGH,RARE,Bold and theatrical,Premium fee plus approval rights
14,Kendra Larmar,Kendrick Lorn,Rap,Conscious Hip-Hop,LEGEND,98,Prestige and Street,North America,5000000,15000000,54000000,"prestige, crime, street, drama, action","lyrical depth, cultural credibility, award appeal","rarely licenses, intense scrutiny",LOW,RARE,Focused and philosophical,Selective prestige-only deal
15,Jay-Zed Carter,Jason Cartwell,Rap,East Coast Rap,LEGEND,96,Luxury and Prestige,North America,7000000,20000000,68000000,"luxury, crime, prestige, street, business","legend status, executive aura, premium credibility","very expensive, hard to secure",LOW,RARE,Commanding and private,Equity plus premium fee
16,Beyona Blaze,Bianca Knowlesby,R&B,Pop Soul,LEGEND,99,Global and Prestige,North America,8000000,22000000,248000000,"prestige, romance, family, superhero, global","elite vocals, cultural impact, event-level attention","extreme cost, extensive approvals",LOW,RARE,Regal and exacting,Top-tier fee plus creative control
17,Rihonna Ray,Rina Fentyra,R&B,Caribbean Pop,LEGEND,94,Global and Fashion,Caribbean,6000000,17000000,162000000,"luxury, action, romance, global, nightlife","cool factor, fashion power, timeless hooks",music availability unpredictable,LOW,RARE,Effortless and stylish,Premium fee plus brand alignment
18,Ed Sheerwood,Eddie Sherwin,Pop,Acoustic Pop,SUPERSTAR,92,Family and Romance,Europe,1400000,4300000,115000000,"romance, family, travel, prestige, global","warm songwriting, wedding appeal, massive radio reach",can feel too soft for edgy scenes,LOW,SELECTIVE,Friendly and humble,Flat fee plus publishing share
19,Harry Stileson,Harold Stylesby,Rock,Soft Rock,SUPERSTAR,91,Teen and Fashion,Europe,1600000,4800000,87000000,"romance, luxury, teen, prestige, roadtrip","charisma, retro glam, broad demographic pull",image approvals can be strict,LOW,RARE,Charming and eccentric,High fee plus aesthetic approval
20,Miley Cyrella,Mila Cyrusen,Pop,Pop Rock,STAR,83,Rebel and Festival,North America,700000,2100000,62000000,"festival, action, romance, rebel, nightlife","raspy vocals, reinvention, rebellious energy",brand safety concerns for family titles,MEDIUM,SELECTIVE,Wild and candid,Upfront fee plus flexible usage
21,Lizzoo Gold,Melissa Jeffersons,Pop,Funk Soul,STAR,85,Family and Empowerment,North America,500000,1600000,31000000,"family, comedy, festival, empowerment, romance","joyful hooks, body-positive image, dance energy",internet backlash cycles,MEDIUM,SELECTIVE,Bubbly and outspoken,Fee plus social activation
22,Sam Smither,Samuel Smithers,R&B,Soul Pop,STAR,84,Romance and Prestige,Europe,550000,1700000,39000000,"romance, prestige, drama, family, luxury","emotional ballads, strong vocals, awards appeal",tempo may be limited,LOW,SELECTIVE,Gentle and dramatic,Licensing fee plus approval
23,Doja Catnip,Dorianne Katz,Rap,Alt Rap,STAR,82,Teen and Internet,North America,600000,1800000,57000000,"teen, comedy, fashion, festival, fantasy","viral instincts, genre fluidity, colorful visuals",online controversy risk,HIGH,SELECTIVE,Chaotic and clever,Fee plus meme campaign
24,Megan Thee Stallia,Megara Stallworth,Rap,Southern Rap,STAR,86,Street and Club,North America,650000,1900000,41000000,"street, action, luxury, comedy, nightlife","confidence, workout energy, bold hooks",explicit content requires clean edits,MEDIUM,SELECTIVE,Fierce and upbeat,Upfront fee plus promo clips
25,Icey Spicy,Isla Sparks,Rap,Drill Pop,KNOWN,73,Teen and Street,North America,140000,420000,9800000,"teen, street, comedy, fashion, nightlife","catchphrases, social buzz, playful flow",novelty may fade quickly,MEDIUM,COMMON,Cool and unserious,Flat fee plus short-form posts
26,Lana Del Raye,Lena Rayfield,Indie,Dream Pop,STAR,88,Prestige and Romance,North America,700000,2200000,52000000,"romance, prestige, noir, luxury, drama","cinematic mood, vintage glamour, cult loyalty","slow tempos, melancholic tone",LOW,SELECTIVE,Dreamy and distant,Creative approval plus fee
